Article Title,Cited,Impact Factor,altmetric_score,DOI,retracted,severity_category
Long non-coding RNA CDKN2B-AS1 contributes to atherosclerotic plaque formation by forming RNA-DNA triplex in the CDKN2B promoter,5.0,9.7,11.5,10.1016/j.ebiom.2024.105193,yes,Critical
LINC00184 silencing inhibits glycolysis and restores mitochondrial oxidative phosphorylation in esophageal cancer through demethylation of PTEN,1.0,9.7,0.25,10.1016/j.ebiom.2024.105192,yes,Critical
Effectiveness of ultrasound guided dry needling in management of jumper's knee: a randomized controlled trial,3.0,3.8,10.0,10.1038/s41598-024-63509-7,yes,Critical
"Spectroscopic and molecular modeling studies of binding interaction between the new complex of yttrium and 1,10-phenanthroline derivatives with DNA and BSA",1.0,3.8,0.5,10.3389/fchem.2024.1433667,yes,Critical
MicroRNA-200a inhibits inflammation and atherosclerotic lesion formation by disrupting EZH2-mediated methylation of STAT3,1.0,5.7,0.25,10.3389/fimmu.2024.1430750,yes,Critical
"Ivermectin role in COVID-19 treatment (IRICT): single-center, adaptive, randomized, double-blind, placebo-controlled, clinical trial",594.0,4.2,365.6000000000005,10.1080/14787210.2024.2362097,yes,Critical
Copper-based metal-organic framework impedes triple-negative breast cancer metastasis via local estrogen deprivation and platelets blockade,3.0,10.6,1.25,10.1186/s12951-024-02589-z,yes,Critical
A FBXO7/EYA2-SCFFBXW7 axis promotes AXL-mediated maintenance of mesenchymal and immune evasion phenotypes of cancer cells,29.0,14.5,21.03,10.1016/j.molcel.2024.05.022,yes,Major
"A Purine Antimetabolite attenuates Toll-like receptor-2, -4 and Subarachnoid Hemorrhage-Induced Brain Apoptosis",2.0,1.8,7.54,10.1016/j.jss.2024.03.025,yes,Moderate
"Tobacco-Specific Carcinogens Induce Hypermethylation, DNA Adducts, and DNA Damage in Bladder Cancer",3.0,2.9,8.08,10.1158/1940-6207.CAPR-24-0164,yes,Critical
The decomposition uniqueness for infinite Cartesian products,1.0,0.6,5.04,10.1016/j.topol.2024.108942,yes,Critical
Some remarks on the uniqueness of decomposition into Cartesian product,1.0,0.6,5.04,10.1016/j.topol.2024.108941,yes,Critical
Genetic basis of genome size variation of wheat,1.0,3.9,0.25,10.1007/s10142-024-01390-3,yes,Critical
"MicroRNA‑379 suppresses cell proliferation, migration and invasion in nasopharyngeal carcinoma by targeting tumor protein D52",2.0,2.4,3.25,10.3892/etm.2024.12577,yes,Critical
"Fabrication, Optimization, and Evaluation of Rotigotine-Loaded Chitosan Nanoparticles for Nose-To-Brain Delivery",1.0,4.9,0.25,10.3390/pharmaceutics16060720,yes,Critical
Removal of Formaldehyde pollutant from petroleum industry wastewaters by polymers: A Molecular Dynamics simulation,2.0,4.2,8.08,10.1016/j.enganabound.2024.105740,yes,Major
LncRNA GAS5 Overexpression Reverses LPS-Induced Inflammatory Injury and Apoptosis Through Up-Regulating KLF2 Expression in ATDC5 Chondrocytes,1.0,2.5,0.25,10.33594/000000685,yes,Critical
Interaction of E3 Ubiquitin Ligase MARCH7 with Long Noncoding RNA MALAT1 and Autophagy-Related Protein ATG7 Promotes Autophagy and Invasion in Ovarian Cancer,1.0,2.5,0.25,10.33594/000000686,yes,Critical
Regulation of Apoptosis and Radiation Sensitization in Lung Cancer Cells via the Sirt1/NF-κB/Smac Pathway,1.0,2.5,0.5,10.33594/000000697,yes,Critical
HDAC1 Silencing in Ovarian Cancer Enhances the Chemotherapy Response,2.0,2.5,0.5,10.33594/000000698,yes,Critical
miR-137 Inhibits Proliferation and Metastasis of Hypertrophic Scar Fibroblasts via Targeting Pleiotrophin,1.0,2.5,0.5,10.33594/000000699,yes,Critical
Special transcriptome landscape and molecular prognostic signature of non-smoking head and neck cancer patients,1.0,3.9,1.0,10.1007/s10142-024-01367-2,yes,Critical
M2 macrophagy-derived exosomal miRNA-5106 induces bone mesenchymal stem cells towards osteoblastic fate by targeting salt-inducible kinase 2 and 3,2.0,10.6,1.0,10.1186/s12951-024-02527-z,yes,Critical
Quercetin modulates expression of serum exosomal long noncoding RNA NEAT1 to regulate the miR-129-5p/BDNF axis and attenuate cognitive impairment in diabetic mice,2.0,5.2,10.16,10.1016/j.lfs.2024.122679,yes,Critical
Squeezing anyons for braiding on small lattices,3.0,3.5,0.75,10.1103/PhysRevResearch.6.029001,yes,Minor
Digital image processing technology under backpropagation neural network and K-Means Clustering algorithm on nitrogen utilization rate of Chinese cabbages,1.0,2.9,8.0,10.1371/journal.pone.0290865,yes,Major
Application of essential oils as natural antimicrobials in lactic acid bacteria contaminating fermentation for the production of organic cachaça,1.0,5,8.0,10.1016/j.ijfoodmicro.2024.110742,yes,Moderate
Propofol inhibits migration and induces apoptosis of pancreatic cancer PANC-1 cells through miR-34a-mediated E-cadherin and LOC285194 signals,9.0,4.2,10.83,10.1080/21655979.2024.2360264,yes,Critical
Reduced self-harm on acute mental health wards following the implementation of a vision-based patient monitoring system: Evidence from five NHS trusts,24.0,2.6,18.6,10.1111/jpm.13067,yes,Major
RAD54L promotes progression of hepatocellular carcinoma via the homologous recombination repair pathway,2.0,3.9,1.25,10.1007/s10142-024-01365-4,yes,Critical
Ensemble learning-based gene signature and risk model for predicting prognosis of triple-negative breast cancer,2.0,3.9,0.5,10.1007/s10142-024-01370-7,yes,Critical
The Effect of Dual-Functional Hyaluronic Acid-Vitamin E Succinate Micelles on Targeting Delivery of Doxorubicin,1.0,6.6,5.08,10.2147/IJN.S476443,yes,Critical
MicroRNA‑19b promotes the migration and invasion of ovarian cancer cells by inhibiting the PTEN/AKT signaling pathway,1.0,2.5,0.5,10.3892/ol.2024.14424,yes,Critical
"Distributions of alcohol use biomarkers including ethanol, phosphatidylethanol, ethyl glucuronide and ethyl sulfate in clinical and forensic testing",1.0,2.5,1.0,10.1016/j.clinbiochem.2024.110749,yes,Major
Does elevating the fetal head prior to delivery using a fetal pillow reduce maternal and fetal complications in a full dilatation caesarean section? A prospective study with historical controls,7.0,0.9,6.2,10.1080/01443615.2024.2348431,yes,Critical
Experimental and numerical investigation of a solar-thermal humidification-dehumidification desalination plant for a coastal greenhouse,3.0,5.3,1.5,10.1016/j.clet.2024.100741,yes,Critical
ZFAS1 Promotes Colorectal Cancer Metastasis Through Modulating miR-34b/SOX4 Targeting,3.0,1.8,1.75,10.1007/s12013-024-01298-6,yes,Minor
ABHD5 protects cardiac function in alcoholic cardiomyopathy via HDAC4-NT to inhibit CAMKII/MEF2 axis,3.0,3.3,1.25,10.1152/japplphysiol.00329.2023_RET,yes,Major
Renal enhanced CT images reveal the tandem mechanism between tumor cells and immunocytes based on bulk/single-cell RNA sequencing,2.0,3.9,1.25,10.1007/s10142-024-01385-0,yes,Critical
Verteporfin-induced formation of protein cross-linked oligomers and high molecular weight complexes is mediated by light and leads to cell toxicity,3.0,3.8,12.66,10.1038/s41598-024-61893-8,yes,Critical
Up-regulation of p21WAF1/CIP1 by miRNAs and its implications in bladder cancer cells,1.0,3,0.25,10.1002/1873-3468.14892,yes,Critical
Effect of magnesium on arrhythmia incidence in patients undergoing coronary artery bypass grafting,1.0,1.5,0.5,10.1111/ans.19024,yes,Critical
Comparative evaluation of the incidence of postoperative pulmonary complications after minimally invasive valve surgery vs. full sternotomy: a systematic review and meta-analysis of randomized controlled trials and propensity score-matched studies,2.0,2.8,0.75,10.3389/fcvm.2024.1422760,yes,Critical
Mitochondrial Genome Sequencing with Short Overlapping Amplicons on Miseq FGx System,1.0,1.4,0.25,10.1093/fsr/owae012,yes,Moderate
Mitochondrial Genome Sequencing with Short Overlapping Amplicons on Miseq FGx System,1.0,1.4,0.25,10.1093/fsr/owae031,yes,Major
Influence of chemical composition on the amount of second phases precipitates and transformation temperatures of TiNiPdCu shape memory alloys prepared through novel powder metallurgy route,3.0,3.9,1.0,10.1039/d3ra90122j,yes,Major
Influence of chemical composition on the amount of second phases precipitates and transformation temperatures of TiNiPdCu shape memory alloys prepared through novel powder metallurgy route,3.0,3.9,1.0,10.1039/d4ra90054e,yes,Critical
MicroRNA‑219 is downregulated in non‑small cell lung cancer and inhibits cell growth and metastasis by targeting HMGA2,2.0,3.4,0.5,10.3892/mmr.2024.13237,yes,Critical
MicroRNA‑539 inhibits the proliferation and invasion of bladder cancer cells by regulating IGF‑1R,2.0,3.4,0.5,10.3892/mmr.2024.13240,yes,Critical
"Downregulation of CKS1B restrains the proliferation, migration, invasion and angiogenesis of retinoblastoma cells through the MEK/ERK signaling pathway",1.0,5.7,0.25,10.3892/ijmm.2024.5382,yes,Critical
Methylene blue relieves the development of osteoarthritis by upregulating lncRNA MEG3,1.0,2.4,0.5,10.3892/etm.2024.12562,yes,Critical
Revisiting Indonesia's governance and conservation of cetaceans,2.0,4.6,0.75,10.1016/j.isci.2024.109987,yes,Major
Inhibition of HDAC4 attenuated JNK/c-Jun-dependent neuronal apoptosis and early brain injury following subarachnoid hemorrhage by transcriptionally suppressing MKK7,3.0,4.2,1.25,10.3389/fncel.2024.1425321,yes,Critical
CircHIPK3 promotes colorectal cancer growth and metastasis by sponging miR-7,3.0,8.1,8.08,10.1038/s41419-024-06761-z,yes,Critical
Fractional boundary element solution of three-temperature thermoelectric problems,5.0,3.8,1.0,10.1038/s41598-024-63283-6,yes,Critical
MCM3AP-AS1/miR-876-5p/WNT5A axis regulates the proliferation of prostate cancer,2.0,5.3,10.5,10.1186/s12935-024-03381-7,yes,Critical
LINC01224 accelerates malignant transformation via MiR-193a-5p/CDK8 axis in gastric cancer,3.0,2.9,11.25,10.1002/cam4.7337,yes,Critical
"Long noncoding RNA UCA1 promotes cell growth, migration, and invasion by targeting miR-143-3p in oral squamous cell carcinoma",2.0,2.9,10.25,10.1002/cam4.7338,yes,Critical
PI3K/Akt pathway and Nanog maintain cancer stem cells in sarcomas,8.0,5.9,14.846,10.1038/s41389-024-00519-0,yes,Critical
Pentoxifylline alleviates early brain injury in a rat model of subarachnoid hemorrhage,1.0,1.9,5.08,10.1007/s00701-024-06127-6,yes,Critical
Investigation of molecular biomarker candidates for diagnosis and prognosis of chronic periodontitis by bioinformatics analysis of pooled microarray gene expression datasets in Gene Expression Omnibus (GEO),1.0,2.6,0.25,10.1186/s12903-024-04383-7,yes,Critical
Platelet-derived growth factor receptor-α and -β promote cancer stem cell phenotypes in sarcomas,6.0,5.9,9.33,10.1038/s41389-024-00520-7,yes,Critical
Six2 Promotes Non-Small Cell Lung Cancer Cell Stemness Via Transcriptionally and Epigenetically Regulating E-Cadherin,1.0,5.9,8.0,10.1111/cpr.13053,yes,Administrative
Six2 Promotes Non-Small Cell Lung Cancer Cell Stemness Via Transcriptionally and Epigenetically Regulating E-Cadherin,1.0,5.9,8.0,10.1111/cpr.13682,yes,Critical
miR-664a-3p functions as an oncogene by targeting Hippo pathway in the development of gastric cancer,1.0,5.9,8.0,10.1111/cpr.13681,yes,Critical
"Clonogenic, myogenic progenitors expressing MCAM/CD146 are incorporated as adventitial reticular cells in the microvascular compartment of human post-natal skeletal muscle",3.0,2.9,9.08,10.1371/journal.pone.0304210,yes,Critical
The integrin facilitated internalization of fibronectin-functionalized camptothecin-loaded DNA-nanofibers for high-efficiency anticancer effects,1.0,5.7,0.5,10.1007/s13346-024-01636-4,yes,Critical
Knockdown of STMN1 enhances osteosarcoma cell chemosensitivity through inhibition of autophagy,1.0,2.5,0.25,10.3892/ol.2024.14466,yes,Critical
Exosomes derived from microRNA-148b-3p-overexpressing human umbilical cord mesenchymal stem cells restrain breast cancer progression,3.0,3.5,1.6,10.3389/fonc.2024.1422567,yes,Critical
Altered microstructure of the contralesional ventral premotor cortex and motor output after stroke,5.0,4.1,2.75,10.1093/braincomms/fcad248,yes,Administrative
Altered microstructure of the contralesional ventral premotor cortex and motor output after stroke,5.0,4.1,2.75,10.1093/braincomms/fcae149,yes,Moderate
"MicroRNA-223 decreases cell proliferation, migration, invasion and enhances cell apoptosis in childhood acute lymphoblastic leukemia via targeting Forkhead box O1",3.0,3.8,1.25,10.1042/BSR-2020-0485_RET,yes,Critical
Combined coenzyme Q10 and clomiphene citrate for ovulation induction in clomiphene-citrate-resistant polycystic ovary syndrome,10.0,3.7,13.0,10.1016/j.rbmo.2022.03.007,yes,Major
Combined coenzyme Q10 and clomiphene citrate for ovulation induction in clomiphene-citrate-resistant polycystic ovary syndrome,10.0,3.7,13.0,10.1016/j.rbmo.2023.103389,yes,Critical
Boxing: medical aspects,1.0,11.6,5.08,10.1136/bjsports-2022-106408eoc,yes,Major
Boxing: medical aspects,1.0,11.6,5.08,10.1136/bjsm.2005.025452ret,yes,Major
"Elementary, my dear Watson",5.0,11.6,3.0,10.1136/bjsports-40-4-283ret,yes,Major
Green innovations and patents in OECD countries,5.0,9.7,40.0,10.1016/j.jclepro.2024.142408,yes,Critical
Potential aspect of rice husk biomass in Australia for nanocrystalline cellulose production,1.0,3.7,3.0,10.1016/j.cjche.2023.07.002,yes,Moderate
Two New Co(II) Coordination Polymers: Photocatalytic Properties and Treatment Activity on Sepsis by Reducing TNF-α and IL-1β Releasing,3.0,1.9,1.0,10.1002/slct.202204921,yes,Critical
Comparative effectiveness of low-level laser therapy and transcutaneous electrical nerve stimulation in symptomatic Temporomandibular Disorders: A Randomised Control Trial,1.0,3.1,8.0,10.1111/joor.13766,yes,Major
"The presence of perforated synapses in the striatum after dopamine depletion, is this a sign of maladaptive brain plasticity?",1.0,1.5,5.08,10.1093/jmicro/dfae024,yes,Major
RE: How the adverse effect counting window affected vaccine safety calculations in randomised trials of COVID-19 vaccines,2.0,2.1,10.5,10.1111/jep.14037,yes,Major
"Functionalization of 2-Amino-4-chloropyridine as Potential In Vitro Inhibitors of Urease Enzyme: Synthesis, Kinetics and In Silico Studies",2.0,1.9,0.5,10.1002/slct.202300163,yes,Critical
"A New Mixed-Ligand Coordination Polymer: Crystal Structure, Molecular Docking and Alleviating Effect on Myocarditis by Inhibiting the NLRP3-Caspase-1 Pathway in Cardiomyocytes",2.0,1.9,0.5,10.1002/slct.202204918,yes,Critical
"A New Cu(I)-Based Coordination Polymer: Crystal Structure, Molecular Docking and Protective Effect in Streptococcus-pneumoniae-Infected Mice by Promoting Immune Cell Response",2.0,1.9,0.5,10.1002/slct.202204919,yes,Critical
"0D/3D Cu(II)-containing coordination complexes constructed from the N,O-donor ligands: structural insights and anticancer activity",1.0,1.9,0.25,10.1002/slct.202204920,yes,Critical
Experimental determination of ferric iron partitioning between pyroxene and melt at 100 kPa,1.0,3.6,0.5,10.1016/j.chemgeo.2023.121762,yes,Critical
Phosphoglycerate Mutase 1 Activates DNA Damage Repair via Regulation of WIP1 Activity,6.0,7.5,9.04,10.1016/j.celrep.2024.114314,yes,Critical
Anti-Cancer Activities of Thyrointegrin αvβ3 Antagonist Mono- and Bis-Triazole Tetraiodothyroacetic Acid Conjugated via Polyethylene Glycols in Glioblastoma,2.0,4.5,6.0,10.3390/cancers14215371,yes,Administrative
Exosomes Derived From Mesenchymal Stem Cells Pretreated With Ischemic Rat Heart Extracts Promote Angiogenesis via the Delivery of DMBT1,4.0,3.2,1.5,10.1177/09636897241256343,yes,Critical
Antidepressant-Like Activity of YL-0919: A Novel Combined Selective Serotonin Reuptake Inhibitor and 5-HT1A Receptor Agonist,2.0,2.9,10.25,10.1371/journal.pone.0304643,yes,Critical
Anti-Cancer Activities of Thyrointegrin αvβ3 Antagonist Mono- and Bis-Triazole Tetraiodothyroacetic Acid Conjugated via Polyethylene Glycols in Glioblastoma,2.0,4.5,6.0,10.3390/cancers16101880,yes,Critical
Tripartite motif 16 suppresses breast cancer stem cell properties through regulation of Gli‑1 degradation via the ubiquitin‑proteasome pathway,1.0,3.8,0.25,10.3892/or.2024.8748,yes,Critical
Regulation of circGOLPH3 and its binding protein CBX7 on the proliferation and apoptosis of prostate cancer cells,1.0,3.8,0.25,10.1042/BSR-2020-0936_RET,yes,Critical
"Comparison of myo-inositol and metformin on mental health parameters and biomarkers of oxidative stress in women with polycystic ovary syndrome: a randomized, double-blind, placebo-controlled trial",6.0,2.1,3.85,10.1080/0167482X.2024.2346385,yes,Critical
Intralipid supplementation in women with recurrent spontaneous abortion and elevated levels of natural killer cells,4.0,2.6,1.25,10.1002/ijgo.15694,yes,Critical
Modeling Dynamics of Culex pipiens Complex Populations and Assessing Abatement Strategies for West Nile Virus,5.0,2.9,14.25,10.1371/journal.pone.0304217,yes,Critical
"Strigol1/albumin/chitosan nanoparticles decrease cell viability, induce apoptosis and alter metabolomics profile in HepG2 cancer cell line",3.0,6.9,1.5,10.1016/j.biopha.2024.116696,yes,Critical
Combined metabolic activators improve metabolic functions in the animal models of neurodegenerative diseases,9.0,5.2,12.5,10.1016/j.lfs.2024.122712,yes,Major
Matrine regulates glutamate-related excitotoxic factors in experimental autoimmune encephalomyelitis,1.0,2.5,5.08,10.1016/j.neulet.2024.137817,yes,Critical
Combination effect of cold atmospheric plasma with green synthesized zero-valent iron nanoparticles in the treatment of melanoma cancer model,4.0,2.9,10.5,10.1371/journal.pone.0304502,yes,Critical
The value of endocervical and endometrial lidocaine flushing before office hysteroscopy: A randomized controlled trial,9.0,2.6,4.7,10.1002/ijgo.15703,yes,Critical
miR-143-5p suppresses breast cancer progression by targeting the HIF-1α-related GLUT1 pathway,1.0,2.5,0.25,10.3892/ol.2024.14444,yes,Critical
The three-dimensional porous mesh structure of Cu-based metal-organic-framework - Aramid cellulose separator enhances the electrochemical performance of lithium metal anode batteries,2223.0,5.7,1659.9299999999885,10.1016/j.surfin.2024.104550,yes,Critical
"Synthesis and characterization of ZrFe2O4@SiO2@Ade-Pd as a novel, recyclable, green, and versatile catalyst for Buchwald–Hartwig and Suzuki–Miyaura cross-coupling reactions",7.0,3.8,14.16,10.1038/s41598-024-58184-7,yes,Administrative
mTORC2 regulates hedgehog pathway activity by promoting stability to Gli2 protein and its nuclear translocation,3.0,8.1,16.0,10.1038/s41419-024-06723-5,yes,Critical
"Synthesis and characterization of ZrFe2O4@SiO2@Ade-Pd as a novel, recyclable, green, and versatile catalyst for Buchwald–Hartwig and Suzuki–Miyaura cross-coupling reactions",7.0,3.8,14.16,10.1038/s41598-024-62395-3,yes,Critical
"Mechanical, thermal, durability and microstructural behavior of hybrid waste-modified green reactive powder concrete",2.0,7.4,10.12,10.1016/j.conbuildmat.2023.132235,yes,Critical
Crestal bone loss evaluation in osseotite expanded platform implants: a 5-year study,1.0,4.8,8.0,10.1111/clr.14280,yes,Critical
Biphasic β-TCP mixed with silicon increases bone formation in critical site defects in rabbit calvaria,2.0,4.8,11.0,10.1111/clr.14276,yes,Critical
Clinical and radiographic evaluation of osseotite-expanded platform implants related to crestal bone loss: a 10-year study,1.0,4.8,0.5,10.1111/clr.14274,yes,Critical
Xenografts Supplemented with Pamindronate placed in postextraction sockets to avoid crestal bone resorption. Experimental study in Fox hound dogs,2.0,4.8,13.04,10.1111/clr.14277,yes,Critical
Peri-implant bone loss clinical and radiographic evaluation around rough neck and microthread implants: a 5-year study,1.0,4.8,8.0,10.1111/clr.14278,yes,Critical
Marginal bone loss evaluation around immediate non-occlusal microthreaded implants placed in fresh extraction sockets in the maxilla: a 3-year study,3.0,4.8,1.0,10.1111/clr.14275,yes,Critical
Histological and histomorphometric evaluation of immediate implant placement on a dog model with a new implant surface treatment,1.0,4.8,8.0,10.1111/clr.14279,yes,Critical
A review of translational medicine. The future paradigm: how can we connect the orthopedic dots better?,4.0,2.4,7.58,10.1080/03007995.2024.2357427,yes,Critical
Okadaic acid promotes epithelial-mesenchymal transition of hepatocellular carcinoma cells by inhibiting protein phosphatase 2A,2.0,3,11.0,10.1002/jcb.30607,yes,Critical
"Identification of Differentially Expressed Genes Related to Dehydration Resistance in a Highly Drought-Tolerant Pear, Pyrus betulaefolia, as through RNA-Seq",4.0,2.9,12.0,10.1371/journal.pone.0304430,yes,Critical
"RFC2, a direct target of miR-744, modulates the cell cycle and promotes the proliferation of CRC cells",1.0,4.5,8.0,10.1002/jcp.31321,yes,Critical
Overexpression of Chloride Channel-3 Predicts Unfavorable Prognosis and Promotes Cellular Invasion in Gastric Cancer,1.0,2.5,0.5,10.2147/CMAR.S478202,yes,Critical
"Prevalence, predictors, and clinical presentation of acute pericardial effusion following percutaneous coronary intervention",3.0,2.8,0.75,10.3389/fcvm.2024.1425882,yes,Major
Enhanced performance of green mortar comprising high volume of ceramic waste in aggressive environments,1.0,7.4,3.0,10.1016/j.conbuildmat.2023.131194,yes,Critical
Diosmetin induces apoptosis and enhances the chemotherapeutic efficacy of paclitaxel in non-small cell lung cancer cells via Nrf2 inhibition,1.0,6.8,0.25,10.1111/bph.15063,yes,Major
A review of the sustainable utilisation of red mud and fly ash for the production of geopolymer composites,11.0,7.4,10.58,10.1016/j.conbuildmat.2023.133556,yes,Major
Long non‑coding RNA receptor activator of nuclear factor‑κB ligand promotes cisplatin resistance in non‑small cell lung cancer cells,1.0,2.4,8.0,10.3892/etm.2024.12560,yes,Critical
HCV‑E2 inhibits hepatocellular carcinoma metastasis by stimulating mast cells to secrete exosomal shuttle microRNAs,2.0,2.5,0.5,10.3892/ol.2024.14434,yes,Critical
LINC01094 promotes the invasion of ovarian cancer cells and regulates the Wnt/β‑catenin signaling pathway by targeting miR‑532‑3p,1.0,2.4,1.0,10.3892/etm.2024.12545,yes,Critical
Mechanism of ARPP21 antagonistic intron miR-128 on neurological function repair after stroke,2.0,4.4,10.25,10.1002/acn3.52086,yes,Critical
A83-01 inhibits TGF-β-induced upregulation of Wnt3 and epithelial to mesenchymal transition in HER2-overexpressing breast cancer cells,6.0,3,16.37,10.1007/s10549-024-07371-1,yes,Critical
"Measles, Mumps, Rubella Vaccination and Autism",6.0,19.6,17.18,10.7326/ANNALS-24-00530,yes,Minor
"Systematic pan-cancer analysis identifies transmembrane protein 158 as a potential therapeutic, prognostic and immunological biomarker",1.0,3.9,1.0,10.1007/s10142-024-01377-0,yes,Critical
Role of Quercetin in Preventing Thioacetamide-Induced Liver Injury in Rats,1.0,1.4,5.08,10.1177/01926233241256964,yes,Critical
Effects of the application of a food processing-based classification system in obese women: A randomized controlled pilot study,1.0,1.9,5.0,10.1177/02601060241254944,yes,Critical
Astrocyte response to melatonin treatment in rats under high-carbohydrate high-fat diet,7.0,2.7,14.22,10.1016/j.jchemneu.2024.102389,yes,Critical
"The effects of myricitrin and chebulinic acid on the rat hippocampus exposed to gamma radiation: A stereological, histochemical and biochemical study",2.0,2.7,10.12,10.1016/j.jchemneu.2023.102305,yes,Critical
Aerobic exercise training reduces deep-frying oil-induced apoptosis of hippocampal tissue by reducing oxidative stress in male rats,3.0,2.7,13.12,10.1016/j.jchemneu.2023.102328,yes,Critical
"TGN020 application against aquaporin 4 improved multiple sclerosis by inhibiting astrocytes, microglia, and NLRP3 inflammasome in a cuprizone mouse model",3.0,2.7,12.37,10.1016/j.jchemneu.2023.102306,yes,Critical
"Anti-inflammatory, anticholinesterase, antioxidant, and memory enhancement potential of Phyllanthus amarus in potassium-dichromate induced neurotoxicity of male Wistar rats",2.0,2.7,10.12,10.1016/j.jchemneu.2023.102308,yes,Critical
Neuroprotective potential of Ginkgo biloba on alteration of rat cerebellum following prenatal exposure to cyclophosphamide,2.0,2.7,10.12,10.1016/j.jchemneu.2024.102434,yes,Critical
"Exercise ameliorates hippocampal damage induced by Wi-Fi radiation; a biochemical, histological, and immunohistochemical study",5.0,2.7,14.62,10.1016/j.jchemneu.2024.102433,yes,Critical
"Gelatin/polyethylene glycol-loaded magnesium hydroxide nanocomposite to attenuate acetylcholinesterase, neurotoxicity, and activation of GPR55 protein in rat models of Alzheimer’s disease",3.0,2.7,17.12,10.1016/j.jchemneu.2024.102448,yes,Critical
"Molecular dynamics performance for coronavirus simulation by C, N, O, and S atoms implementation dreiding force field: drug delivery atomic interaction in contact with metallic Fe, Al, and steel",3.0,2.8,5.33,10.1007/s40571-024-00765-4,yes,Critical
Continuous Arterial Pressure Waveform–Based Cardiac Output Using the FloTrac/Vigileo: A Review and Meta-analysis,3.0,2.3,9.0,10.1053/j.jvca.2009.03.003,yes,Critical
"The Interplay of Tau Protein and β-Amyloid: While Tauopathy Spreads More Profoundly Than Amyloidopathy, Both Processes Are Almost Equally Pathogenic",1.0,3.6,7.0,10.1007/s10571-024-01468-3,yes,Critical
The role of the protein C-thrombomodulin system and fibrinolysis during cardiovascular surgery: Influence of acute preoperative plasmapheresis,8.0,2.3,6.0,10.1016/s1053-0770(05)80009-6,yes,Critical
Total intravenous anesthesia with remifentanil and propofol for implantation of cardioverter-defibrillators in patients with severely reduced left ventricular function,1.0,2.3,3.0,10.1016/s1053-0770(99)90166-0,yes,Critical
Acute preoperative hemodilution in cardiac surgery: Volume replacement with a hypertonic saline-hydroxyethyl starch solution,1.0,2.3,3.0,10.1016/1053-0770(91)90088-b,yes,Critical
Acute Platelet-Rich Plasmapheresis for Cardiac Surgery,7.0,2.3,6.0,10.1016/S1053-0770(05)80061-8,yes,Critical
ERK1/2-Nanog signaling pathway enhances CD44(+) cancer stem-like cell phenotypes and epithelial-to-mesenchymal transition in head and neck squamous cell carcinomas,5.0,8.1,8.58,10.1038/s41419-024-06608-7,yes,Critical
"PIK3R3, part of the regulatory domain of PI3K, is upregulated in sarcoma stem-like cells and promotes invasion, migration, and chemotherapy resistance",6.0,8.1,8.83,10.1038/s41419-024-06609-6,yes,Critical
GRP78 determines glioblastoma sensitivity to UBA1 inhibition-induced UPR signaling and cell death,2.0,8.1,0.75,10.1038/s41419-024-06574-0,yes,Critical
A Cogitation on the ChatGPT Craze from the Perspective of Psychological Algorithm Aversion and Appreciation,1.0,2.8,1.0,10.2147/PRBM.S477151,yes,Major
STAT1-induced upregulation of lncRNA LINC01123 predicts poor prognosis and promotes the progression of endometrial cancer through miR-516b/KIF4A,1.0,3.4,0.25,10.1080/15384101.2023.2188826,yes,Critical
Exosomes-carried microRNA-26b-5p regulates microglia M1 polarization after cerebral ischemia/reperfusion,1.0,3.4,1.0,10.1080/15384101.2023.2188822,yes,Critical
From Sacrificing Sister to Star Sister: The History of Queer Celebrity in Turkey,1.0,0.6,0.5,10.1080/19392397.2023.2256574,yes,Major
Thermal study on non-Newtonian fluids through a porous channel for turbine blades,9.0,6.4,4.85,10.1016/j.csite.2023.103563,yes,Critical
Sustainable utilization of red mud waste (bauxite residue) and slag for the production of geopolymer composites: A review,13.0,6.5,18.33,10.1016/j.cscm.2023.e02668,yes,Critical
Hyperacute synchronous cardiocerebral infarction in a patient with new-onset atrial fibrillation a rare case of MINOCA,1.0,10.2,8.0,10.1093/cvr/cvac183,yes,Minor
"Mechanisms by which SGN-40, a Humanized Anti-CD40 Antibody, Induces Cytotoxicity in Human Multiple Myeloma Cells: Clinical Implications",50.0,12.5,20.08,10.1158/0008-5472.CAN-24-0520,yes,Critical
Cancer-Associated PP2A Aα Subunits Induce Functional Haploinsufficiency and Tumorigenicity,2.0,12.5,8.08,10.1158/0008-5472.CAN-24-0434,yes,Major
Interference of the long noncoding RNA CDKN2B-AS1 upregulates miR-181a-5p/TGFβI axis to restrain the metastasis and promote apoptosis and senescence of cervical cancer cells,1.0,2.9,0.25,10.1002/cam4.6713,yes,Critical
Examination of two new technologies to assess the diet of woodland caribou: video recorders attached to collars and DNA barcoding,8.0,1.7,18.5,10.1139/cjfr-2023-0042,yes,Critical
Toxic hydrazoic acid vapor detection and adsorption by different metal-decorated BN nanotubes: A first-principles study,11.0,3,5.949999999999999,10.1016/j.comptc.2024.114577,yes,Critical
Effective implementation of Japanese quality methods during health pandemics,1.0,4.5,1.0,10.1108/BPMJ-02-2024-0120,yes,Critical
Diosmetin induces apoptosis and enhances the chemotherapeutic efficacy of paclitaxel in non-small cell lung cancer cells via Nrf2 inhibition,1.0,6.8,0.25,10.1111/bph.16346,yes,Critical
